id,timestamp_utc,timestamp_text,time_boot_s,ax_mg,ay_mg,az_mg,gx_mrad_s,gy_mrad_s,gz_mrad_s
105,1763044036.9651504,Thu 2025-11-13 15:27:16,,8.0,4.0,-999.0,0.0,0.0,0.0
106,1763044038.9649656,Thu 2025-11-13 15:27:18,,8.0,4.0,-1000.0,0.0,0.0,0.0
107,1763044040.9649572,Thu 2025-11-13 15:27:20,,8.0,3.0,-1000.0,0.0,0.0,0.0
108,1763044041.965016,Thu 2025-11-13 15:27:21,,8.0,4.0,-999.0,0.0,0.0,0.0
109,1763044342.0838616,Thu 2025-11-13 15:32:22,,-100.0,-117.0,-955.0,-119.0,-123.0,-3.0
110,1763044343.9739604,Thu 2025-11-13 15:32:23,,7.0,677.0,-878.0,3369.0,61.0,451.0
111,1763044344.9740026,Thu 2025-11-13 15:32:24,,248.0,1.0,-1008.0,-271.0,111.0,13.0
112,1763044345.9742706,Thu 2025-11-13 15:32:25,,112.0,845.0,-653.0,-3002.0,-199.0,-282.0
113,1763044958.141352,Thu 2025-11-13 15:42:38,,10.0,5.0,-1000.0,0.0,0.0,0.0
114,1763044959.1414096,Thu 2025-11-13 15:42:39,,10.0,5.0,-1001.0,0.0,0.0,0.0
115,1763044961.1413317,Thu 2025-11-13 15:42:41,,9.0,3.0,-1000.0,0.0,0.0,0.0
116,1763044962.1416032,Thu 2025-11-13 15:42:42,,9.0,3.0,-999.0,0.0,0.0,0.0
117,1763044964.1414635,Thu 2025-11-13 15:42:44,,10.0,5.0,-1001.0,0.0,0.0,0.0
118,1763044965.1414871,Thu 2025-11-13 15:42:45,,9.0,5.0,-1001.0,0.0,0.0,0.0
119,1763044967.141527,Thu 2025-11-13 15:42:47,,9.0,3.0,-1000.0,0.0,0.0,0.0
120,1763044968.1417344,Thu 2025-11-13 15:42:48,,10.0,5.0,-999.0,0.0,0.0,0.0
121,1763045045.1437836,Thu 2025-11-13 15:44:05,,9.0,3.0,-1000.0,0.0,0.0,0.0
122,1763045046.1437898,Thu 2025-11-13 15:44:06,,9.0,3.0,-999.0,0.0,0.0,0.0
123,1763045048.1437593,Thu 2025-11-13 15:44:08,,10.0,5.0,-1000.0,0.0,0.0,0.0
124,1763045049.144069,Thu 2025-11-13 15:44:09,,9.0,5.0,-1000.0,0.0,0.0,0.0
125,1763045051.1438406,Thu 2025-11-13 15:44:11,,10.0,4.0,-1000.0,0.0,0.0,0.0
126,1763045052.1438887,Thu 2025-11-13 15:44:12,,10.0,5.0,-999.0,0.0,0.0,0.0
127,1763045053.143916,Thu 2025-11-13 15:44:13,,10.0,4.0,-999.0,0.0,0.0,0.0
128,1763045054.1439376,Thu 2025-11-13 15:44:14,,10.0,7.0,-999.0,0.0,0.0,0.0
129,1763045055.1442962,Thu 2025-11-13 15:44:15,,9.0,3.0,-1000.0,0.0,0.0,0.0
130,1763045057.1439965,Thu 2025-11-13 15:44:17,,10.0,6.0,-999.0,0.0,0.0,0.0
131,1763045364.1550286,Thu 2025-11-13 15:49:24,,10.0,5.0,-998.0,0.0,0.0,0.0
132,1763045366.1549947,Thu 2025-11-13 15:49:26,,9.0,4.0,-999.0,0.0,0.0,0.0
133,1763045367.1550324,Thu 2025-11-13 15:49:27,,9.0,5.0,-999.0,0.0,0.0,0.0
134,1763045368.1553504,Thu 2025-11-13 15:49:28,,9.0,4.0,-999.0,0.0,0.0,0.0
135,1763045370.1551816,Thu 2025-11-13 15:49:30,,9.0,5.0,-998.0,0.0,0.0,0.0
136,1763045711.164874,Thu 2025-11-13 15:55:11,,9.0,3.0,-999.0,0.0,0.0,0.0
137,1763045712.1649,Thu 2025-11-13 15:55:12,,9.0,5.0,-1000.0,0.0,0.0,0.0
138,1763045713.164951,Thu 2025-11-13 15:55:13,,9.0,4.0,-999.0,0.0,0.0,0.0
139,1763045715.164967,Thu 2025-11-13 15:55:15,,9.0,5.0,-1000.0,0.0,0.0,0.0
140,1763045716.1650178,Thu 2025-11-13 15:55:16,,10.0,5.0,-999.0,0.0,0.0,0.0
141,1763045718.1650538,Thu 2025-11-13 15:55:18,,8.0,3.0,-999.0,0.0,0.0,0.0
142,1763045729.1652057,Thu 2025-11-13 15:55:29,,10.0,5.0,-999.0,0.0,0.0,0.0
143,1763045730.165243,Thu 2025-11-13 15:55:30,,9.0,4.0,-1000.0,0.0,0.0,0.0
144,1763045731.1653209,Thu 2025-11-13 15:55:31,,9.0,5.0,-999.0,0.0,0.0,0.0
145,1763045733.1655953,Thu 2025-11-13 15:55:33,,8.0,5.0,-999.0,0.0,0.0,0.0
146,1763045735.1653829,Thu 2025-11-13 15:55:35,,9.0,5.0,-999.0,0.0,0.0,0.0
147,1763045736.1654127,Thu 2025-11-13 15:55:36,,10.0,4.0,-1001.0,0.0,0.0,0.0
148,1763045737.1654596,Thu 2025-11-13 15:55:37,,9.0,5.0,-1001.0,0.0,0.0,0.0
149,1763045738.1654944,Thu 2025-11-13 15:55:38,,9.0,4.0,-999.0,0.0,0.0,0.0
150,1763547763.7927842,Wed 2025-11-19 11:22:43,,-48.0,14.0,-995.0,0.0,0.0,0.0
151,1763547764.7928014,Wed 2025-11-19 11:22:44,,-48.0,14.0,-994.0,0.0,0.0,0.0
152,1763547766.7928443,Wed 2025-11-19 11:22:46,,-49.0,13.0,-994.0,0.0,0.0,0.0
153,1763547767.79315,Wed 2025-11-19 11:22:47,,-49.0,15.0,-995.0,0.0,0.0,0.0
154,1763547769.7928853,Wed 2025-11-19 11:22:49,,-49.0,14.0,-995.0,0.0,0.0,0.0
